id_comune,denominazione,datetime,positivi,positivi_1000
103079,Valle Cannobina,2020-01-01 18:30:00,0,0.0
103078,Borgomezzavalle,2020-01-01 18:30:00,0,0.0
103077,Vogogna,2020-01-01 18:30:00,2,1.14
103076,Villette,2020-01-01 18:30:00,3,10.79
103075,Villadossola,2020-01-01 18:30:00,17,2.61
103074,Vignone,2020-01-01 18:30:00,9,7.53
103072,Verbania,2020-01-01 18:30:00,202,6.62
103071,Varzo,2020-01-01 18:30:00,5,2.48
103070,Vanzone con San Carlo,2020-01-01 18:30:00,2,5.24
103069,Valstrona,2020-01-01 18:30:00,1,0.82
103068,Trontano,2020-01-01 18:30:00,8,4.79
103067,Trasquera,2020-01-01 18:30:00,0,0.0
103066,Trarego Viggiona,2020-01-01 18:30:00,0,0.0
103065,Toceno,2020-01-01 18:30:00,0,0.0
103064,Stresa,2020-01-01 18:30:00,5,1.03
103062,Santa Maria Maggiore,2020-01-01 18:30:00,3,2.32
103061,San Bernardino Verbano,2020-01-01 18:30:00,3,2.28
103060,Re,2020-01-01 18:30:00,2,2.72
103059,Quarna Sotto,2020-01-01 18:30:00,0,0.0
103058,Quarna Sopra,2020-01-01 18:30:00,2,7.94
103057,Premosello-Chiovenda,2020-01-01 18:30:00,5,2.58
103056,Premia,2020-01-01 18:30:00,0,0.0
103055,Premeno,2020-01-01 18:30:00,4,5.48
103054,Pieve Vergonte,2020-01-01 18:30:00,8,3.18
103053,Piedimulera,2020-01-01 18:30:00,3,1.97
103052,Pallanzeno,2020-01-01 18:30:00,3,2.61
103051,Ornavasso,2020-01-01 18:30:00,8,2.33
103050,Omegna,2020-01-01 18:30:00,50,3.29
103049,Oggebbio,2020-01-01 18:30:00,1,1.15
103048,Nonio,2020-01-01 18:30:00,1,1.16
103047,Montescheno,2020-01-01 18:30:00,5,12.76
103046,Montecrestese,2020-01-01 18:30:00,0,0.0
103045,Miazzina,2020-01-01 18:30:00,2,5.24
103044,Mergozzo,2020-01-01 18:30:00,5,2.31
103043,Massiola,2020-01-01 18:30:00,0,0.0
103042,Masera,2020-01-01 18:30:00,6,4.06
103041,Malesco,2020-01-01 18:30:00,2,1.45
103040,Madonna del Sasso,2020-01-01 18:30:00,0,0.0
103039,Macugnaga,2020-01-01 18:30:00,1,1.85
103038,Loreglia,2020-01-01 18:30:00,1,4.29
103037,Intragna,2020-01-01 18:30:00,0,0.0
103036,Gurro,2020-01-01 18:30:00,0,0.0
